epoch,training_loss,validation_loss,validation_accuracy,validation_precision,validation_f1_score,learning_rate,time_per_epoch
1,1.2630708773027768,0.2886424958705902,94.32,0.9980353634577603,0.9980353634577603,5e-05,133.35641956329346
2,1.0386769451539626,0.22318772971630096,95.78,0.9980314960629921,0.9970501474926254,5e-05,133.46022248268127
3,1.0234691752967509,0.20050440728664398,96.56,0.9942196531791907,0.9971014492753623,5e-05,133.51675462722778
4,0.9968952581455762,0.20419791340827942,96.28,1.0,1.0,5e-05,133.51608777046204
5,0.9266047572547739,0.20780956745147705,96.48,0.9980544747081712,0.9990262901655307,5e-05,133.2935082912445
6,0.9734820495782928,0.15648436546325684,96.84,0.9980237154150198,0.9970384995064165,5e-05,133.43951678276062
7,0.8753594546155496,0.1487927883863449,96.74,0.9961240310077519,0.9980582524271845,5e-05,133.38088703155518
8,0.9060886879028245,0.14711111783981323,96.9,0.9960861056751468,0.9980392156862744,5e-05,133.35156750679016
9,0.9149036911231551,0.1574050635099411,96.62,1.0,1.0,5e-05,133.4204306602478
10,0.9049786921082572,0.1944885104894638,96.94,1.0,0.999020568070519,5e-05,133.5726056098938
11,0.8718955424106256,0.18087756633758545,96.78,1.0,1.0,5e-06,133.48977303504944
12,0.8461213517426089,0.14732857048511505,97.34,1.0,0.9990167158308751,5e-06,133.96704483032227
13,0.8478756624866616,0.14106039702892303,97.22,1.0,1.0,5e-06,133.38538551330566
14,0.8754411617463286,0.15075306594371796,97.42,0.9980430528375733,0.999020568070519,5e-06,133.10109043121338
15,0.8532842594960873,0.14375558495521545,97.26,1.0,1.0,5e-06,133.43893909454346
16,0.8148465513421054,0.1441064476966858,97.26,1.0,1.0,5.000000000000001e-07,133.48670554161072
17,0.8741149818524718,0.1441878378391266,97.28,1.0,1.0,5.000000000000001e-07,133.04597234725952
18,0.86734826058488,0.1441703885793686,97.34,1.0,1.0,5.000000000000001e-07,133.23207068443298
19,0.8551484875550325,0.141701802611351,97.3,1.0,1.0,5.000000000000001e-08,133.4235315322876
20,0.8320678056387062,0.1404791623353958,97.44,1.0,1.0,5.000000000000001e-08,133.19842624664307
